trial,start_city,distance,elapsed_sec,total_elapsed_sec,output_file,is_best
1,771,41188.57,31.85,31.85,random_start_outputs_6/output_6_trial_1.csv,True
2,1920,41157.23,30.39,62.26,random_start_outputs_6/output_6_trial_2.csv,True
3,1418,41060.40,25.78,88.04,random_start_outputs_6/output_6_trial_3.csv,True
4,864,41188.20,37.50,125.55,random_start_outputs_6/output_6_trial_4.csv,False
5,626,41447.96,34.15,159.71,random_start_outputs_6/output_6_trial_5.csv,False
6,44,41366.61,31.40,191.11,random_start_outputs_6/output_6_trial_6.csv,False
7,443,41162.88,31.04,222.15,random_start_outputs_6/output_6_trial_7.csv,False
8,2027,41298.40,29.56,251.71,random_start_outputs_6/output_6_trial_8.csv,False
9,1559,41325.61,27.76,279.47,random_start_outputs_6/output_6_trial_9.csv,False
10,1981,41073.57,26.19,305.66,random_start_outputs_6/output_6_trial_10.csv,False
11,972,41057.40,28.52,334.18,random_start_outputs_6/output_6_trial_11.csv,True
12,510,41030.82,27.07,361.25,random_start_outputs_6/output_6_trial_12.csv,True
13,810,41340.75,27.90,389.16,random_start_outputs_6/output_6_trial_13.csv,False
14,1410,41208.37,32.05,421.21,random_start_outputs_6/output_6_trial_14.csv,False
15,975,41337.19,29.18,450.39,random_start_outputs_6/output_6_trial_15.csv,False
16,527,41475.66,29.27,479.66,random_start_outputs_6/output_6_trial_16.csv,False
17,982,41484.48,37.55,517.21,random_start_outputs_6/output_6_trial_17.csv,False
18,1901,41289.34,33.30,550.51,random_start_outputs_6/output_6_trial_18.csv,False
19,1666,41449.93,29.91,580.42,random_start_outputs_6/output_6_trial_19.csv,False
20,1686,41230.55,30.80,611.22,random_start_outputs_6/output_6_trial_20.csv,False
21,1227,41078.01,25.37,636.59,random_start_outputs_6/output_6_trial_21.csv,False
22,946,41245.04,29.11,665.70,random_start_outputs_6/output_6_trial_22.csv,False
23,1681,41753.17,35.09,700.79,random_start_outputs_6/output_6_trial_23.csv,False
24,959,41300.74,29.18,729.98,random_start_outputs_6/output_6_trial_24.csv,False
25,811,41476.67,38.66,768.64,random_start_outputs_6/output_6_trial_25.csv,False
26,134,41222.61,37.03,805.67,random_start_outputs_6/output_6_trial_26.csv,False
27,1032,41310.23,26.95,832.62,random_start_outputs_6/output_6_trial_27.csv,False
28,391,41336.43,30.48,863.10,random_start_outputs_6/output_6_trial_28.csv,False
29,177,40903.49,25.06,888.16,random_start_outputs_6/output_6_trial_29.csv,True
30,801,41345.96,30.91,919.08,random_start_outputs_6/output_6_trial_30.csv,False
31,912,41402.29,29.14,948.22,random_start_outputs_6/output_6_trial_31.csv,False
32,1169,41472.50,22.53,970.75,random_start_outputs_6/output_6_trial_32.csv,False
33,261,41428.08,26.16,996.91,random_start_outputs_6/output_6_trial_33.csv,False
34,1866,41574.45,33.07,1029.98,random_start_outputs_6/output_6_trial_34.csv,False
35,119,41071.25,26.81,1056.79,random_start_outputs_6/output_6_trial_35.csv,False
36,1086,41333.79,28.10,1084.89,random_start_outputs_6/output_6_trial_36.csv,False
37,574,41269.66,26.27,1111.16,random_start_outputs_6/output_6_trial_37.csv,False
38,1735,41303.05,31.05,1142.22,random_start_outputs_6/output_6_trial_38.csv,False
39,1686,41230.55,31.36,1173.59,random_start_outputs_6/output_6_trial_39.csv,False
40,781,41518.35,32.01,1205.60,random_start_outputs_6/output_6_trial_40.csv,False
41,1340,41216.47,29.47,1235.08,random_start_outputs_6/output_6_trial_41.csv,False
42,2027,41298.40,28.28,1263.36,random_start_outputs_6/output_6_trial_42.csv,False
